premise,hypothesis,label
@USER über alle FDP'ler kann man nur den Kopf schütteln! 🤷‍♂️,Dieser Kommentar ist eine Tatsachenbehauptung,2
Maskelo der Schwätzer,Dieser Kommentar enthält Ironie,2
"Menschen disquallifizieren sich selbst, wenn sie die Flüchtlinge bekämpfen, anstatt die Fluchtursachen.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Wir haben unseren Haushalt völlig auf energiesparende Geräte umgestellt, das spart rund 1000 kw/h jährlich. Die Ölzentralheizung wurde gegen eine Holzpelletheizung ausgetauscht. Alle Wege zur Arbeit und zur Schule werden konsequent mit dem Fahrrad oder mit öffentlichen Verkehrsmitteln zurückgelegt. Flugzeuge benutzen wir äußerst selten, Kreuzfahrten unternehmen wir nicht und wir haben unseren Fleischkonsum reduziert.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"@MEDIUM, ja nicht ""Wasser predigen, aber Champagner saufen""!!",Dieser Kommentar ist eine Respektbekundung,2
"Der hat nur das ausgesprochen, was offensichtlich ist. Angst ist die größte Wahlmotivation...",Dieser Kommentar ist eine Respektbekundung,2
Und grinst noch dabei 😅,Dieser Kommentar ist ein Lösungsvorschlag,2
Sagen Sie bloß sie sind für grüne,Dieser Kommentar enthält Ironie,2
@MEDIUM Wo war eigentlich die AfD 😂🤣😜🚽🛢,Dieser Kommentar ist ein Lösungsvorschlag,2
"Ich [f]rage [m]al alle Griechen hier in der Runde:[ ][w]elches Land ist ihre Heimat? Türkei oder Deutschland?[ ]Und bitte keine Antwort [wie] ""beides"" [oder] sonst so ein Geschleime[.] Sprache ist bei der Integration enorm wichtig. Salami allerleikum.",Dieser Kommentar ist eine externe Quelle,2
Ich würde gerne mal mit Herrn Spahn persönlich über Selbstbestimmung und auch meine Organe sprechen.,Dieser Kommentar ist eine externe Quelle,2
"Das Projekt steht in Ffm , wo man direkt im Wohnzimmer steht, da man den Flur weg ließ und das Treppenhaus aussen, am Haus anbrachte...nur an Barriererfreiheit für Rollstuhlfahrer/innnen wurde nicht gedacht, sehr sinnfrei..!!",Dieser Kommentar ist eine externe Quelle,2
Wir haben Wohnungen! Kümmern Sie sich! Ihre Behauptung ist einfach falsch! Hier stehen leere Häuser.,Dieser Kommentar ist eine Respektbekundung,2
"Ich glaube, dieser Mann hat einen kleinen Penis",Dieser Kommentar enthält Ironie,2
@USER wo haben Sie diese Zahl her? Von der AFD?,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER in eurer verzweifelten Wut stürzt ihr euch auf alles, hä ?",Dieser Kommentar ist eine Respektbekundung,2
